eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A29_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A29,,Quadrat count,0.25,m^2,"POLYGON ((567176.963166943 4076916.61785916,567176.876937116 4076917.09793862,567177.357016574 4076917.18416845,567177.443246402 4076916.70408899,567176.963166943 4076916.61785916))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A29_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A29,,Quadrat count,0.25,m^2,"POLYGON ((567177.928563058 4076917.4562241,567177.448910498 4076917.33572269,567177.328409083 4076917.81537525,567177.808061642 4076917.93587666,567177.928563058 4076917.4562241))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A29_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A29,,Quadrat count,0.25,m^2,"POLYGON ((567178.110926308 4076916.85285502,567178.002999128 4076917.33866132,567178.488805433 4076917.4465885,567178.596732613 4076916.9607822,567178.110926308 4076916.85285502))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A29_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A29,,Quadrat count,0.25,m^2,"POLYGON ((567178.01794289 4076916.75153655,567178.11597425 4076916.27561866,567177.640056354 4076916.1775873,567177.542024994 4076916.65350519,567178.01794289 4076916.75153655))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A25_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A25,,Quadrat count,0.25,m^2,"POLYGON ((567438.571453845 4077175.19283065,567438.872520104 4077175.55796802,567439.237657478 4077175.25690176,567438.936591218 4077174.89176439,567438.571453845 4077175.19283065))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A25_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A25,,Quadrat count,0.25,m^2,"POLYGON ((567439.76854989 4077175.01019468,567439.383502088 4077175.32387324,567439.697180645 4077175.70892104,567440.082228448 4077175.39524248,567439.76854989 4077175.01019468))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A25_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A25,,Quadrat count,0.25,m^2,"POLYGON ((567439.417652257 4077174.48507523,567439.748098823 4077174.8493099,567440.112333497 4077174.51886334,567439.78188693 4077174.15462866,567439.417652257 4077174.48507523))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A25_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A25,,Quadrat count,0.25,m^2,"POLYGON ((567438.955038444 4077174.79907161,567439.350902473 4077174.48669036,567439.038521223 4077174.09082633,567438.642657194 4077174.40320758,567438.955038444 4077174.79907161))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A27_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Quadrat count,0.25,m^2,"POLYGON ((567448.12672467 4077180.08991375,567448.610449359 4077180.19239286,567448.712928469 4077179.70866817,567448.22920378 4077179.60618906,567448.12672467 4077180.08991375))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A27_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Quadrat count,0.25,m^2,"POLYGON ((567448.873965995 4077179.09755462,567448.829408414 4077179.59202864,567449.323882434 4077179.63658622,567449.368440015 4077179.1421122,567448.873965995 4077179.09755462))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A27_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Quadrat count,0.25,m^2,"POLYGON ((567448.905773484 4077178.47765228,567448.405155486 4077178.38354367,567448.311046869 4077178.88416166,567448.811664867 4077178.97827028,567448.905773484 4077178.47765228))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A27_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Quadrat count,0.25,m^2,"POLYGON ((567448.263069293 4077178.99342749,567447.777658779 4077178.90750045,567447.691731742 4077179.39291096,567448.177142256 4077179.478838,567448.263069293 4077178.99342749))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A26_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Quadrat count,0.25,m^2,"POLYGON ((567441.255265961 4077182.15558358,567441.749747158 4077182.12995457,567441.724118148 4077181.63547337,567441.229636951 4077181.66110238,567441.255265961 4077182.15558358))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A26_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Quadrat count,0.25,m^2,"POLYGON ((567441.916612641 4077181.10577973,567441.934311799 4077181.58969901,567442.41823108 4077181.57199985,567442.400531921 4077181.08808057,567441.916612641 4077181.10577973))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A26_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Quadrat count,0.25,m^2,"POLYGON ((567441.206803412 4077181.01177927,567441.701631868 4077181.01706857,567441.706921166 4077180.52224011,567441.21209271 4077180.51695081,567441.206803412 4077181.01177927))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A26_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Quadrat count,0.25,m^2,"POLYGON ((567441.091731364 4077181.48624598,567441.090470734 4077180.99573073,567440.599955485 4077180.99699136,567440.601216115 4077181.48750661,567441.091731364 4077181.48624598))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Quadrat count,0.25,m^2,"POLYGON ((566791.677553689 4076538.92713952,566792.168713317 4076538.91170531,566792.153279103 4076538.42054568,566791.662119475 4076538.43597989,566791.677553689 4076538.92713952))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A30_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Quadrat count,0.25,m^2,"POLYGON ((567186.11144888 4076914.1902841,567186.025219052 4076914.67036355,567186.505298511 4076914.75659338,567186.591528339 4076914.27651392,567186.11144888 4076914.1902841))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A30_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Quadrat count,0.25,m^2,"POLYGON ((567187.076844994 4076915.02864904,567186.597192435 4076914.90814762,567186.476691019 4076915.38780018,567186.956343579 4076915.50830159,567187.076844994 4076915.02864904))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A30_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Quadrat count,0.25,m^2,"POLYGON ((567187.259208245 4076914.42527995,567187.151281065 4076914.91108625,567187.63708737 4076915.01901343,567187.74501455 4076914.53320713,567187.259208245 4076914.42527995))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A30_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Quadrat count,0.25,m^2,"POLYGON ((567187.166224826 4076914.32396149,567187.264256187 4076913.84804359,567186.788338291 4076913.75001223,567186.69030693 4076914.22593013,567187.166224826 4076914.32396149))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,
