eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QS_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QS,20151215,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QN_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QN,20151215,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QW_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QW,20151215,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QE_20151215,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QE,20151215,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QW_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QW,20170126,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QE_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QE,20170126,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QN_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QN,20170126,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QS_20170126,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QS,20170126,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QW_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QW,20180123,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QE_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QE,20180123,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QS_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QS,20180123,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QN_20180123,CSIC-EEZ:SERPAM:AMOLADERAS_A14_QN,20180123,Quadrat count,0.25,m^2,,,,,,
